food_name,age,time,cuisine_type,cooking_method,dish_type,dietary_preferences,spice_level,occasion,nutrient_content,region_origin,texture,post_id
strawberry shake,child,snacks,fusion,blended,dessert,vegetarian,mild,everyday,high carb,fusion,smooth,1c8f60q
gujarati khandvi,senior citizen,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1c8bpcd
grilled chicken tikka,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1c83q7n
instant tomatoes chutney,senior citizen,snacks,indian,stir-fried,starter,vegetarian,mild,everyday,high fiber,indian,liquid,1c81u6s
mushroom pepper fry,adult,lunch,fusion,stir-fried,appetizer,vegetarian,medium,everyday,high protein,fusion,crunchy,1c80pc4
pasta and cheese garlic bread,child,snacks,western,baked,snack,non-vegetarian,mild,everyday,high carb,western,soft,1c7yvyk
golden prawns,senior citizen,lunch,goan,grilled,appetizer,non-vegetarian,medium,everyday,high protein,goa,soft,1c7yugu
mango mousse,senior citizen,dinner,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,smooth,1c7ydmp
bombay vada pav,adult,snacks,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1c7wiip
paneer shashlik,adult,dinner,indian,grilled,main course,vegetarian,medium,festive,high protein,indian,soft,1c7wa6a
grilled cottage,adult,lunch,fusion,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1c7rsvu
greek yogurt,adult,breakfast,indo-western,stir-fried,breakfast,vegetarian,mild,everyday,high protein,indian,creamy,1c7ren3
egg biryani,adult,dinner,indian,steamed,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1c7ps3n
gulab jamun,adult,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,gujarati,soft,1c7ox8m
chicken biryani,adult,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,indian,soft,1c7out9
chai,child,breakfast,indian,boiled,drink,vegetarian,mild,everyday,high carb,india,liquid,1c7nv4z
lasan bedu,adult,dinner,indian,steamed,main course,vegetarian,medium,festive,high protein,bohra,soft,1c7d09k
curd rice,adult,lunch,south indian,steamed,main course,vegetarian,mild,everyday,high carb,south indian,soft,1c76vhv
blueberry halva,adult,dessert,fusion,baked,dessert,vegetarian,mild,everyday,high carb,indian,soft,1c74pwl
vegetable kurma,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,soft,1c734zy
maggie masala,adult,snacks,indian,stir-fried,snack,vegetarian,medium,everyday,high carb,indian,soft,1c6zd0d
roti paneer,adult,lunch,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1c6yqka
sandge papad,adult,snacks,indian,steamed,snack,vegetarian,mild,traditional,high carb,maharashtrian,crispy,1c6xjje
momos,adult,snacks,north indian,steamed,appetizer,vegetarian,mild,festive,high protein,nepal,soft,1c6vnxs
vegetable biryani,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1c6eizi
chicken tikka,adult,lunch,indian,grilled,main course,non-vegetarian,medium,office lunch,high protein,indian,soft,1c6e7hh
paneer lollipop,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1c6c2a4
grilled chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1c682qt
dal,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1c671zz
kitchri,adult,lunch,indian,steamed,main course,vegetarian,medium,everyday,high protein,indian,soft,1c664p5
misal,adult,lunch,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,pune,soft,1c65vbg
kulfi,child,dessert,indian,frozen,dessert,vegetarian,mild,festive,high carb,indian,creamy,1c65bv7
sakhar,adult,dinner,indo-western,steamed,main course,vegetarian,mild,festive,high carb,konkani,soft,1c64oy0
idli,adult,breakfast,south indian,steamed,appetizer,vegetarian,mild,everyday,high carb,tamil,soft,1c5zzxs
panchratan,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,smooth,1c5plyk
sabudana,adult,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high protein,maharashtrian,crispy,1c5lew0
pizza,adult,dinner,western,baked,appetizer,non-vegetarian,mild,everyday,high carb,western,chewy,1c5kay8
thupka,adult,lunch,indo-western,steamed,soup,vegetarian,medium,everyday,high protein,tibetan,thick,1c5jcae
south indian meals,senior citizen,dinner,south indian,steamed,meal,vegetarian,mild,everyday,high carb,south indian,soft,1c5j866
chaat,adult,dinner,north indian,grilled,appetizer,vegetarian,mild,festive,high protein,delhi,crunchy,1c5j4cl
masala chaap,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,everyday,high protein,punjabi,soft,1c5j0x4
chaat,adult,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,crunchy,1c5i78v
aamras,adult,sweet,indian,steamed,dessert,vegetarian,mild,festive,high carb,maharashtrian,smooth,1c5hdlg
jangri,adult,dessert,indian,steamed,dessert,vegetarian,mild,everyday,high carb,north indian,soft,1c5dz1s
dum pulao,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,north indian,soft,1c5cvdx
chole,adult,dessert,indian,fry,dessert,vegetarian,medium,festive,high carb,north indian,soft,1c5bqij
aloo makhana,adult,lunch,indian,grilled,appetizer,vegetarian,mild,festive,high protein,indian,crispy,1c5bgc1
grilled chicken,adult,lunch,indian,grilled,main course,non-vegetarian,medium,festive,high protein,indian,tender,1c58ytg
Aloo Tikki,adult,breakfast,Indian,other,breakfast,vegetarian,mild,everyday,high protein,north indian,crispy,1c56mn5
Vada Pav,adult,snacks,South Indian,steamed,appetizer,vegetarian,mild,everyday,high protein,Karnataka,soft,1c557b9
Sev Puri,adult,snacks,North Indian,fried,snack,vegetarian,mild,everyday,high carb,Punjabi,crispy,1c4zrqv
Tandoori roti,adult,dinner,Indian,baked,main course,vegetarian,medium,everyday,high carb,other,soft,1c4z8mv
Dalbiji,adult,breakfast,North Indian,steamed,main course,vegetarian,mild,everyday,high carb,Punjabi,soft,1c4trj6
Meethi rava idli,adult,breakfast,South Indian,steamed,appetizer,vegetarian,mild,everyday,high protein,Tamil,soft,1c4qf2c
Fish Fry,adult,dinner,Fusion,fried,appetizer,non-vegetarian,medium,everyday,high protein,other,crispy,1c4pqcj
Aglio Olio Spaghetti,adult,dinner,Indo-Western,stir-fried,appetizer,non-vegetarian,mild,everyday,high protein,other,soft,1c4hxjf
Sadhya,adult,dinner,South Indian,steamed,main course,vegetarian,mild,festive,high protein,Tamil,soft,1c40im7
Coconut dalh,adult,dinner,Indian,curried,main course,vegetarian,medium,everyday,high protein,other,creamy,1c40faq
lamb biryani,adult,dinner,indian,baked,main course,non-vegetarian,medium,festive,high protein,indian,soft,1c3zs4k
chutney pulao,adult,dinner,indian,steamed,main course,vegetarian,mild,everyday,high carb,indian,soft,1c3xwvf
fruit milkshake,child,snacks,fusion,blended,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1c3xcqw
grilled chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,indian,soft,1c3vgjg
naan,adult,breakfast,indian,baked,bread,vegetarian,mild,everyday,high carb,indian,soft,1c3ujgj
bhel,adult,snacks,indian,stir-fried,snack,vegetarian,medium,everyday,high fiber,indian,crunchy,1c3tya0
pakode,child,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high carb,indian,crispy,1c3szb8
bahubali sandwich,adult,lunch,indian,grilled,sandwich,vegetarian,mild,everyday,high protein,indian,crunchy,1c3s2jl
sadya,senior citizen,lunch,south indian,steamed,appetizer,vegetarian,mild,festive,high fiber,south indian,soft,1c3r7qa
monaco biscuit,child,breakfast,indian,baked,dessert,vegetarian,mild,everyday,high carb,indian,crispy,1c3okyh
ghar ka khaana,adult,dinner,north indian,grilled,main course,vegetarian,mild,everyday,high protein,punjabi,soft,1c3nxkm
itwaar bohaag bihu meal,senior citizen,dinner,north indian,steamed,meal,vegetarian,mild,festive,high carb,punjabi,soft,1c3mu59
paneer tikka,senior citizen,dinner,indian,grilled,appetizer,vegetarian,mild,festive,high protein,punjabi,soft,1c3m2fv
gulab jamun,senior citizen,dinner,indian,baked,dessert,vegetarian,mild,festive,high carb,india,soft,1c3j52e
lamb biryani,adult,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,indian,soft,1c3djpi
matar ki crispy kachori,adult,snacks,north indian,fried,appetizer,vegetarian,medium,everyday,high carb,punjabi,crispy,1c35uxa
tandoori chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1c35tzk
schezwan chicken,adult,dinner,fusion,stir-fried,main course,non-vegetarian,medium,everyday,high protein,indian,crispy,1c333g7
steamed rice,adult,lunch,indian,steamed,lunch,vegetarian,mild,everyday,high carb,indian,soft,1c2ysvt
apple halwa,senior citizen,dinner,indian,stir-fried,dessert,vegetarian,mild,everyday,high carb,indian,soft,1c2uupx
thai green curry,adult, dinner, fusion, stir-fried, main course, non-vegetarian, medium, everyday, high protein, other, smooth, 1c2m9ur
ghee podi idli,senior, breakfast, south indian, steamed, main course, vegetarian, mild, everyday, high carb, tamil, soft, 1c2f05s
paneer wale chawal,adult, dinner, north indian, steamed, main course, vegetarian, medium, everyday, high protein, punjabi, soft, 1c2ewb3
squid ghee roast,senior, dinner, fusion, grilled, appetizer, non-vegetarian, medium, everyday, high protein, other, soft, 1c2anoj
chai and aloo sandwich,adult, snacks, indian, grilled, snack, vegetarian, mild, everyday, high carb, other, soft, 1c28mgf
yin-yang grilled vegetables,senior, lunch, fusion, grilled, lunch, vegetarian, medium, everyday, high protein, other, crispy, 1c23wbv
hyderabadi biryani,adult, dinner, indian, steamed, main course, non-vegetarian, medium, festive, high protein, hyderabadi, soft, 1c20h8s
soy chilli,adult, snacks, fusion, stir-fried, appetizer, vegetarian, medium, everyday, high protein, other, crunchy, 1c1xcpy
aloo stuffed capsicum bonda,adult, lunch, indian, steamed, appetizer, vegetarian, medium, festive, high fiber, indian, soft, 1c1jw1w
chhole bhature,adult, lunch, north indian, stir-fried, main course, vegetarian, medium, festive, high carb, punjabi, soft, 1c1eov4
cabbage fried rice,adult,dinner,fusion,stir-fried,main course,vegetarian,mild,everyday,high protein,other,soft,1c1cfln
thayir sadam,senior citizen,lunch,south indian,stir-fried,appetizer,vegetarian,mild,everyday,high protein,tamil,soft,1c1bty1
pasta with tomato sauce,adult,dinner,fusion,baked,dessert,vegetarian,mild,everyday,high carb,italian,soft,1c199xn
veg thali,senior citizen,lunch,indian,steamed,main course,vegetarian,medium,everyday,high protein,other,mixed,1c18fkg
kesari bhat khara bhat,senior citizen,breakfast,south indian,steamed,breakfast,vegetarian,mild,everyday,high carb,tamil,soft,1c16c58
baingan bhaja,senior citizen,dinner,indian,fried,appetizer,vegetarian,medium,everyday,high protein,bengali,crispy,1c0qqf6
bangarapete panipuri,child,snacks,south indian,steamed,appetizer,vegetarian,mild,everyday,high fiber,karnataka,crispy,1c0qimx
honey lemon mutton curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,dinner,high protein,other,tender,1c0n5up
strawberry roll-ups,senior citizen,dessert,indian,stir-fried,dessert,vegetarian,mild,everyday,high carb,other,soft,1c0fkg7
grilled chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,dinner,high protein,other,soft,1c0016w
chilli potato,adult,snacks,indian,grilled,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1bzweo5
hyderabadi chicken biriyani,adult,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,hyderabadi,soft,1bznynq
taipo,senior citizen,lunch,tibetan,steamed,appetizer,non-vegetarian,medium,everyday,high protein,tibet,soft,1bznrgg
mango vanilla shake,child,snacks,fusion,blended,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1bznee9
navratri breakfast,senior citizen,breakfast,indian,steamed,breakfast,vegetarian,mild,festive,high protein,indian,soft,1bzm2kp
mixed vegetable salad,adult,lunch,fusion,mixed,salad,vegetarian,mild,everyday,high fiber,indian,crunchy,1bzl2kv
grilled chicken sandwich,adult,dinner,indo-western,grilled,main course,non-vegetarian,mild,everyday,high protein,indian,soft,1bzkz1d
idli,senior citizen,breakfast,indian,steamed,breakfast,vegetarian,mild,festive,high protein,india,soft,1bzk74b
spicy egg fried rice,adult,dinner,fusion,stir-fried,main course,non-vegetarian,spicy,everyday,high carb,indian,soft,1bzj5ar
makhana chaat,adult,snacks,indian,stir-fried,snack,vegetarian,mild,everyday,high fiber,maharashtrian,crunchy,1bz5tt5
vermicelli milk pudding,child,dessert,indian,steamed,dessert,vegetarian,mild,festive,high carb,bengali,creamy,1bz59oh
eid celebration recipes,adult,dinner,indian,baked,main course,vegetarian,medium,festive,high carb,indian,soft,1bz4rd8
rasgulla,child,dessert,indian,baked,dessert,vegetarian,mild,everyday,high carb,bengali,soft,1bz0sxh
pav bhajji,adult,lunch,indian,stir-fried,side dish,vegetarian,mild,everyday,high carb,indian,soft,1bz0brt
paneer do pyaza,adult,snacks,north indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1byz0bn
caramel rice paayasam,adult,dinner,south indian,steamed,dessert,vegetarian,mild,festive,high carb,tamil,smooth,1byypru
apricot sheera,child,dinner,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,south indian,soft,1bywth8
baked banana cake,child,dessert,indian,baked,dessert,vegetarian,mild,everyday,high carb,indian,moist,1byu94y
steamed idli,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1byt1dg
fried eggs,adult,snacks,indian,fried,snack,vegetarian,mild,everyday,high protein,indian,soft,1byqooi
baked macaroni and cheese,adult,dinner,indian,baked,main course,vegetarian,mild,everyday,high carb,indian,creamy,1byf4m2
aloo masala sandwich,child,breakfast,indian,stir-fried,appetizer,vegetarian,mild,everyday,high carb,indian,soft,1bycbr6
sunday,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,cake-like,1byb2io
thaali,adult,dinner,indian,stir-fried,meal,vegetarian,medium,everyday,high carb,indian,soft,1byb2io
veg momos,child,snacks,north indian,steamed,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1by9ege
surmai fry and chicken xacuti thali,adult,dinner,fusion,fried,main course,non-vegetarian,medium,everyday,high protein,indian,crispy,1by64ux
curd rice and farali chiwada for shivratri,senior citizen,dinner,indian,steamed,main course,vegetarian,mild,festive,high carb,indian,soft,1by4op5
mutton chop fry,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,everyday,high protein,punjabi,tender,1by2fql
vada pav,adult,snacks,indian,steamed,snack,vegetarian,mild,everyday,high carb,gujarati,soft,1by1ld7
dried raw mango,adult,snacks,indian,dried,dessert,vegetarian,mild,everyday,high carb,indian,soft,1by0ez8
chicken dum biryani,senior citizen,dinner,indian,steamed,main course,non-vegetarian,medium,everyday,high carb,other,soft,1bxz1s5
itwaar ka aalsi nashta,adult,breakfast,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1bxxkz7
spaghetti aglio e olio,adult,lunch,fusion,stir-fried,starter,vegetarian,medium,everyday,high carb,other,soft,1bxv5yd
chutney,adult,lunch,indian,mixed,sauce,vegetarian,mild,everyday,high protein,indian,smooth,1bxqj4v
chicken pulao,senior citizen,dinner,indian,steamed,main course,non-vegetarian,medium,everyday,high protein,other,soft,1bxk094
rajma chawal,adult,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1bxhhs5
mirchi vada,adult,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1bxf27u
steamed rice,adult,dinner,fusion,steamed,main course,non-vegetarian,spicy,everyday,high carb,other,soft,1bxdrw7
kadhai chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,other,soft,1bxd593
bread pudding,adult,dinner,fusion,baked,dessert,vegetarian,mild,everyday,high carb,other,soft,1bxc4ux
kadhi,senior citizen,late lunch,indian,fried,appetizer,vegetarian,medium,late lunch,high carb,indian,crispy,1bx953e
sago,senior citizen,snacks,indian,steamed,appetizer,vegetarian,medium,festive,high carb,india,soft,1bx8ohw
panner,adult,dinner,fusion,fried,main course,vegetarian,medium,everyday,high protein,fusion,crunchy,1bx1aay
litti,senior citizen,dinner,north indian,steamed,appetizer,vegetarian,mild,everyday,high protein,bihar,soft,1bwnet1
chapathi,senior citizen,breakfast,indian,steamed,appetizer,vegetarian,mild,everyday,high carb,indian,soft,1bwkavr
chicken,adult,snacks,western,fried,appetizer,non-vegetarian,mild,everyday,high carb,western,crispy,1bwiejr
creamy,adult,dinner,indian,baked,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1bwf8li
chana,adult,lunch,indian,stir-fried,main course,vegetarian,mild,everyday,high protein,indian,smooth,1bwdtz8
rice,adult,dinner,indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,goan,soft,1bvuxfq
dal,adult,dinner,indian,stir-fried,meal,vegetarian,medium,everyday,high carb,indian,smooth,1bvt9nl
chicken biryani,adult,dinner,indo-western,stir-fried,dessert,vegetarian,mild,everyday,high fiber,other,soft,1bvrfcp
assamese thali,adult,dinner,north indian,steamed,thali,vegetarian,medium,everyday,high protein,assamese,soft,1bvnjza
avocado toast,adult,snacks,fusion,toasted,snack,vegetarian,mild,everyday,high fiber,other,soft,1bvnhua
cheese nachos,adult,snacks,fusion,baked,appetizer,non-vegetarian,mild,everyday,high carb,other,crunchy,1bvn29n
veg peanut toast,senior citizen,snacks,indian,toasted,snack,vegetarian,mild,everyday,high protein,indian,crispy,1bvkbfp
ros omelette,adult,dinner,indian,stir-fried,main course,vegetarian,mild,everyday,high protein,indian,soft,1bvjzw0
grilled chicken steak,adult,lunch,western,grilled,main course,non-vegetarian,mild,everyday,high protein,other,soft,1bvhwbp
dahi bhalla,adult,snacks,north indian,steamed,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1bvf8uk
gulab jamun trifle,senior citizen,dessert,indian fusion,baked,dessert,vegetarian,mild,festive,high carb,indian fusion,custardy,1bv75js
thukpa,senior citizen,lunch,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,tibetan,noodly,1bv3ad4
hariyali chicken tikka,adult,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,north indian,soft,1buu9d7
chole,senior citizen,lunch,north indian,stir-fried,appetizer,vegetarian,medium,festive,high protein,punjabi,soft,1buqxyy
daliya,adult,lunch,north indian,steamed,main course,vegetarian,mild,everyday,high protein,punjabi,soft,1buoqpf
vada sambhar chutney,senior citizen,breakfast,south indian,steamed,appetizer,vegetarian,medium,everyday,high fiber,tamil,soft,1buof2o
kolkata style chicken biryani,adult,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,bengali,soft,1bukti4
chili pakoda,adult,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high carb,bengali,crispy,1bujsyj
grilled paneer tikka,adult,dinner,indian,grilled,main course,vegetarian,mild,everyday,high protein,indian,soft,1bu6fty
stuffed tomato gravy,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,soft,1bu0vp7
puliyogare rice,adult,lunch,south indian,steamed,main course,vegetarian,medium,everyday,high carb,tamil,soft,1btvjcw
bhel,adult,snacks,indian,stir-fried,snack,vegetarian,mild,everyday,high carb,indian,crunchy,1btulqf
mango ice cream,child,dessert,indian,frozen,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1btuiv5
sewaiya,senior citizen,snacks,north indian,steamed,snack,vegetarian,mild,everyday,high carb,punjabi,soft,1bt9ns7
chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bt85g4
chicken biryani,senior citizen,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,mughlai,soft,1bt7un1
mangalore style chicken ghee roast,adult,dinner,south indian,grilled,main course,non-vegetarian,medium,festive,high protein,mangalore,tender,1bt6nd7
sausages in soy & toasted buns,adult,snacks,fusion,grilled,appetizer,non-vegetarian,mild,everyday,high protein,fusion,crunchy,1bt6319
vermicelli kunafa,senior citizen,dinner,fusion,baked,dessert,vegetarian,mild,festive,high carb,fusion,soft,1bt5jzk
aaloo shimla mirch,adult,lunch,indian,steamed,thaali,vegetarian,mild,everyday,high fiber,indian,soft,1bt0pr4
aloo paratha,adult,breakfast,north indian,grilled,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1bsxrrv
